no,name,past_members,genres,instruments,labels,associated_acts,years_active,occupations,birth_name,origin,born,members,also_known_as,genre,website,spouse(s),twitter_followers
69,Miss K8, ," Techno, hardstyle, hardcore techno, gabber, Frenchcore, ", ,Masters of Hardcore, , ," DJ, ",Kateryna Kremko, ,"Kiev, Ukraine", ," Lady Kate, [1], ", ,missk8.com, ,32K
70,3 Are Legend, , , , ," W&W, Angger Dimas, Autoerotique, Ummet Ozcan, Justin Prime, Sandro Silva, ",2015-present,"DJs, musicians", , , ,Steve AokiDimitri VegasLike Mike, , , , ,11.8K
71,Deadmau5, ," Progressive house, electro house, electronic, "," Synthesizer, keyboard, piano, digital audio workstation, programming, "," Mau5trap, Virgin EMI, Ultra, Astralwerks, Ministry of Sound, SongBird, Play, Virgin, Parlophone, "," Kaskade, Rob Swire, Wolfgang Gartner, BSOD, WTF?, Eric Prydz, ",1998-present," Record producer, DJ, musician, ",Joel Thomas Zimmerman, ," (1981-01-05) January 5, 1981 (age 39)Niagara Falls, Ontario, Canada", ," Halcyon441, Karma K, Testpilot[1], ", ,deadmau5.com,Kelly Fedoni (m. 2017),3.64M
72,Carta, , , , , , , , , , , , , , , ,18K
73,Carl Nunes, ,Pop, ,"Warner Music Italy, Warner Music Spain", ,2007-present, , ,"Cagliari, Italy", (1985-05-21) 21 May 1985 (age 34), , , ,Official website, ,11.7K
74,Charlotte de Witte, ," Techno, ", ," Bad Life, Crux, Turbo, Novamute, KNTXT, ", ,2010-present," DJ, record producer, ",Charlotte Alois de Witte, ,"Ghent, Belgium", ,Raving George, ,charlottedewittemusic.com, ,98.9K
75,Warface, , , , , , , , , , , , , , , ,54.9K
76,Cedric Gervais, ," Dance, progressive house, electro house, tech house, big room house, "," Guitar, Logic Pro, "," Sleaze, Sleaze Industries, Ultra, Armada, Spinnin', Polydor, Interscope, "," Lenny Kravitz, Deep Dish, Second Sun, CID, Howard Jones, Lana Del Rey, Borgore, David Guetta, ", ," Disc jockey, record producer, actor, songwriter, ",Cedric DePasquale[1], ," (1979-06-07) 7 June 1979 (age 40)Marseille, France", , , ,www.cedricgervais.com, ,81.8K
77,Yellow Claw, , , , , , , , , , , , , , , ,191K
78,Lucas & Steve, ," House, future house, ","Programming, keyboard, synthesizer, piano","Spinnin' Records, Spinnin' Deep","Sam Feldt, Laurent Wolf, Dr. Kucho!, Gregor Salto, Pep & Rash, Bassjackers, Firebeatz, Mike Williams, Curbi, Ummet Ozcan",2010-present, , ,"Maastricht, Netherlands", ,Lucas de WertSteven Jansen, , ,lucasandsteve.com/, ,30.7K
79,Andy C, ,Drum and bass, ," RAM, "," Origin Unknown, Ram Trilogy, Desired State[4], Concept 2[5], ",1989-present," DJ, record producer, record executive, ",Andrew John Clarke[1], ," (1976-04-07) 7 April 1976 (age 44)[3]Walsall, England", ," Double Vision[2], ", ,www.andyc.cc, ,110K
80,Peggy Gou, ," Deep House, Dance, Minimal Trance, Electronic, House music, Tech House, ", ,Ninja TunePhonicaGudu Records, ,2014-present,DJRecord producerFashion designer,Kim Min-ji,"Berlin, Germany"," (1991-07-03) July 3, 1991 (age 28)[1]Incheon, South Korea", , , , , ,
81,Deniz Koyu, ,"Progressive house, electro house","Keyboards, mixer, synthesizer","Protocol Recordings, Spinnin' Records, Axtone Records, Refune Records, Flamingo Recordings, Recovery House, Netswork Records", ,2007-present,"Musician, DJ, music producer",Deniz Akcakoyunlu,Turkey, (1985-04-29) 29 April 1985 (age 35), ,Deniz Koyu, , , ,152K
82,Robin Schulz, ," Deep house, tropical house[1][2], future house, "," Digital audio workstation, synthesizer, keyboard, piano, "," Tonspiel, Warner, "," David Guetta, Mr Probz, James Blunt, Jasmine Thompson, Lilly Wood and the Prick, Francesco Yates, Ilsey, Akon, Cheat Codes, Marc Scibilia, ",2007-present," Musician, DJ, record producer, ",Robin Schulz, ," (1987-04-28) 28 April 1987 (age 33)Osnabruck, Lower Saxony, Germany", , , ,robin-schulz.com, ,233K
83,Vicetone, ," Progressive house, electro house, deep house, future house, nu-disco, ", ," Protocol Recordings, Monstercat, Spinnin Records, Armada Music, Revealed Recordings, Ultra Records, Dim Mak Records, Vicetone Records, "," Nicky Romero, Krewella, Nervo, Kat Nestel, ",2012-present, , ,"Groningen, Netherlands", ," Ruben Den Boer, Victor Pool, ", , ,www.vicetone.com, ,111K
84,Tom & Collins,Bizzey," Hardstyle, hip hop, dubstep, big room house, moombahton, trap, ", ," Roc Nation, Barong Family, Mad Decent, Spinnin', Dim Mak, Sony, Universal, "," Boaz van de Beatz, LNY TNZ, DJ Snake, Rochelle, Cesqeaux, Ronnie Flex, Diplo, MOTi, Alvaro, San Holo, ",2010-present," DJs, record producers, ", ,"Venlo, Netherlands", ," Jim Aasgier, Nils Rondhuis, ", , ,yellowclaw.com, ,17.9K
85,Boris Brejcha, ,Trance * Minimal techno * High-Tech Minimal, , , , ," DJ, record producer, ", , ," (1981-11-26) November 26, 1981 (age 38)", , , , , ,23.8K
86,Marco Carola, ,"Minimal Techno, Tech House", ,"Music On, Zenit, Question, Design Music, Plus 8, M-nus", ,1990 september, ,Marco Carola,"Naples, Campania, Italy"," (1975-02-07) February 7, 1975 (age 45)Naples, Campania, Italy", , , ,marcocarola.net, ,167K
87,Paul van Dyk, ," Uplifting trance, progressive trance, house, progressive house, electro house, psytrance, "," Keyboards, mixer, synthesizer, turntables, "," Vandit, Armada, Armind, A State of Trance, Black Hole Recordings, Mainstage Music, Spinnin', Ultra, Deviant, Magik Muzik, Mute, Perfecto Records, MFS, Who's Afraid of 138?!, "," DJ's United, Dolfin', The Visions of Shiva[2], ",1990-present," DJ, record producer, musician, ",Matthias Paul[1], ," (1971-12-16) 16 December 1971 (age 48)Eisenhuttenstadt, Bezirk Frankfurt, East Germany", , , ,paulvandyk.com, ,1.27M
88,Solardo, ," House, Tech house, Deep house, Progressive house, "," Keyboard, guitar, synthesizer, "," All Around the World, Axtone, Bachelor Pad, CR2, Defected, Glasgow Underground, Nervous, RCA, Spinnin' Deep, Suara, Toolroom, Ultra, Vice, ","Ultrabeat, Rezonance Q",2004-present, , ,"Liverpool, United Kingdom", ,Dave Whelan Mike Di Scala,"Whelan & Di Scala, Wheels & Disco, Shake n' Jack, Mancini, Pawn Shop, Da Mode, High Society, The Bassline Hustlers", , , ,47.1K
89,Thomas Gold, ," Progressive house, electro house, tech house, trance, ", ," Spinnin' Records, Armada Music, Axtone Records, Size Records, Protocol Recordings, ","Bass Bumpers, Bora Bora Chicks, Chriss Ortega & Thomas Gold, City Sneakerz, Eric Smax & Thomas Gold, Houzecrushers, O&G Project, Peak Time Killerz, Punk People, Resource, Second Run, Soulmaniax",2000-present," DJ, record producer, ",Frank Thomas Knebel-Janssen, ," (1981-08-09) 9 August 1981 (age 38)Berlin, Germany", ,"Beat Riders, Dee-Luxe, Frankk, Level K, Plastic Nation, O&G Project", ,www.thomas-gold.com, ,226K
90,Black Coffee, ," House[1], classical, "," Keyboards, sampler, percussion, synthesizer, vocals, ","Soulistic, Ultra Music[2][3]"," Mi Casa, David Guetta, Usher, ",1994-present," DJ, record producer, singer, songwriter, ",Nkosinathi Innocent Maphumulo,"Durban, KwaZulu Natal, South Africa"," (1976-03-11) 11 March 1976 (age 44)Umlazi, KwaZulu-Natal", , , ,residentadvisor.net/dj/blackcoffee, ,
91,Paul Kalkbrenner, ,TechnoMinimal Electronica Downbeat,"Turntables, keyboard, Ableton Live","Sony Music, Paul Kalkbrenner Musik,  BPitch Control", ,1999-present,"Electronic musician, actor", , ," (1977-06-11) 11 June 1977 (age 42)Leipzig, Germany", ,"PK,Paul dB+,Kalkito,Grenade,DJ Ickarus", ,www.paulkalkbrenner.net, ,105K
92,Daddy's Groove, ,"Electro house, G-house, Bass house, Progressive house, House, dance, electronica", , ,"Kylie Minogue, Whitney Houston, James Blunt, Enrique Iglesias, B.o.B, Melin Shikder, David Guetta, Axwell, Sebastian Ingrosso",2004 -present,"DJ, producer, musician", ,"Naples, Italy", ,"Carlo Grieco, Peppe Folliero", , ,http://daddysgroove.com/, ,54.4K
93,Julian Jordan, ," Electro house, progressive house, big room house, future house, ", ," STMPD, Goldkid, Armada, ", ,2012-present," Musician, DJ, record producer, ",Julian Dobbenberg, ," (1995-08-20) 20 August 1995 (age 24)Apeldoorn, Netherlands", , , , , ,165K
95,Sub Zero Project, ," Hardstyle, ", ,"Dirty Workz, Scantraxx, WE R Music, Q-Dance Records","Festuca, X-System, Atmozfears, X-Pander, Sub Sonik, Radical Redemption, Deepack, Devin Wild, Da Tweekaz, E-Force, Zatox, Headhunterz, Phuture Noize, Timmy Trumpet, Ecstatic, D-Block & S-te-Fan, KELTEK, D-Sturb, Frequencerz",2013-present, , ,Netherlands, ,Thomas VeldermanNigel Coppen,SZP, ,Official website, ,11.8K
96,D.O.D, ," Progressive house, electro house, bass house, "," Keyboard, Guitar, Synthesizer, ",Spinnin' RecordsMixmash RecordsFool's Gold RecordsFly Eye RecordsWall RecordingsOnes to Watch,"Deorro, Angger Dimas, Laidback Luke, Sandro Silva, Futuristic Polar Bears, Jewelz & Sparks, Henry Fong, Moksi",2009-present," Musician, DJ, record producer, ",Dan O'Donnell, ," (1995-04-05) 5 April 1995 (age 25)Lancaster, England, United Kingdom", , , ,www.djdod.com/, ,6.15M
97,Henri PFR, ,Tropical house,Piano," Sony Music, Armada Music, ", , ,"DJ, musician, composer",Henri Peiffer, ," (1995-09-26) 26 September 1995 (age 24)Brussels, Belgium", , , ,www.henripfr.com, ,10.3K
98,Florian Picasso, ," Electro house, progressive house, bass house[1], ", ," Ultra Music, Protocol Recordings, Spinnin' Records, Mixmash Records, House Of House, Cr2 Records, Scorpio Music, Stmpd Rcrds, ", ,2011-present," Musician, DJ, record producer, ",Florian Ruiz-Picasso,"Cannes, France"," (1990-02-21) 21 February 1990 (age 30)Ho Chi Minh City, Vietnam", , , ,http://florianpicasso.com/, ,31.2K
99,Swanky Tunes," Vadim Bagdasaryan, "," House, progressive house, electro house, future house, bass house, dubstep, ", ," Spinnin', Showland, Ultra, Hexagon, "," Hard Rock Sofa, R3hab, Matisse & Sadko, Tiësto, Kaskade, DVBBS, Tom Swoon, Yves V, ",1998 (1998)-present, , ,"Smolensk, Russia", ," Vadim Shpak, Dmitry Burykin, Stanislav Zaytsev, ", , ,swankytunes.com, ,109K
100,Solomun, ,House," Synthesizer, ","Diynamic, 2DIY4", ,2002-present," DJ, record producer, remixer, ",Mladen Solomun, ," (1975-12-27) December 27, 1975 (age 44)Travnik, Bosnia and Herzegovina", ,Solomun, ,diynamic.com/news/, ,42.1K
